Institute Id,Institute Name,City,Score,RANK_22,TLR_2022,RP_22,GO_22,OI_22,Perception_22
IR-E-U-0186,Jaypee University of Information Technology,Solan,37.39,138,44.77,25.87,57.18,44.53,3.14
IR-E-C-10342,Chandigarh Engineering College,Sahibzada Ajit Singh Nagar,37.37,139,64.49,6.88,43.96,71.26,0.54
IR-E-C-19747,Anurag University,Hyderabad,37.33,140,61.17,4.04,53.57,60.93,9.68
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,37.3,141,57.86,14.82,49.24,52.3,4.14
IR-E-I-1015,Vishwakarma Institute of Technology,Pune,37.28,142,58.11,7.27,59.8,50.59,6.54
IR-E-U-0175,"J. C. Bose University of Science and Technology, YMCA",Faridabad,37.27,143,57.53,10.43,57.83,50.53,2.64
IR-E-U-0373,Chitkara University,Rajpura,37.24,144,48.75,16.2,50.82,58.13,17.88
IR-E-I-1093,Noida Institute of Engineering & Technology,Greater Noida,37.2,145,56.67,3.19,58.51,52.16,23.2
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Managemen,Nagpur,37.02,146,56.99,9.31,57.6,50.89,5.12
IR-E-U-0643,Galgotias University,Gautam Budh Nagar,36.89,147,52.94,16.04,49.01,55.25,8.8
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,36.79,148,54.03,12.59,57.1,50.18,3.65
IR-E-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,36.78,149,54.72,14.21,53.7,47.61,6.07
IR-E-C-6581,Pondicherry Engineering College,Puducherry,36.77,150,46.38,15.51,59.49,54.2,8.8
IR-E-C-43264,"National Institute of Advanced Manufacturing Technology, ",Ranch,36.77,150,67.53,4.93,49.22,49.31,2.64
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),Chennai,36.71,152,50.09,26.26,42.12,48.27,5.6
IR-E-U-0604,"Amity University, Gwalior",Gwalior,36.49,153,60.12,6.79,58.15,46.78,1.08
IR-E-C-16614,R.M.K. Engineering College,Thiruvallur,36.46,154,57.46,8,56.48,52.18,3.14
IR-E-U-1119 ,Mahindra University,Hyderabad ,36.46,154,57.63,4.89,63.89,49.22,0
IR-E-I-1441 ,Saveetha Institute of Medical and Technical Sciences,Chennai ,36.44,156,45.55,30.02,35.88,64.76,1.08
IR-E-C-16547 ,Sri Sairam Engineering College,Kancheepuram ,36.41,157,58.22,13.82,45.94,51.02,5.12
IR-E-C-1412 ,JSS Science and Technology University,Mysuru ,36.36,158,54.77,6.54,58.03,51.84,11.78
IR-E-U-0491 ,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,,36.35,159,51.96,23.56,47.22,41.85,0.54
IR-E-C-36975 ,Government College of Technology,Coimbatore,36.22,160,47.78,10.05,58.06,49.81,22.89
IR-E-C-30153 ,"Silicon Institute of Technology (SIT), Bhubaneswar",Bhubaneswar,36.19,161,58.97,3.52,55.86,62.34,0.54
IR-E-C-19650 ,Vardhaman College of Engineering,Rangareddy ,36.15,162,51.89,9.33,54.59,47.99,20.62
IR-E-C-18817 ,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,36.12,163,57.48,10.43,48.65,54.57,5.6
IR-E-U-0541,Sharda University,Greater Noida ,36.1,164,57.74,17.36,37.44,55.57,5.12
IR-E-C-26929 ,Sree Vidyanikethan Engineering College,Tirupati ,36.08,165,53.63,9.35,50.85,50.83,19.27
IR-E-C-25622 ,Chaitanya Bharathi Institute of Technology,Hyderabad,35.84,166,57.5,3.07,56.89,51.94,10.95
IR-E-C-33773 ,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,Mumbai,35.62,167,46.53,13.11,63.92,46.41,3.14
IR-E-I-1356 ,Rabindranath Tagore University,Raisen,35.62,167,61.9,2.01,51.25,61.99,0
IR-E-C-27089 ,National Engineering College,Kovilpatti,35.58,169,55.51,12.1,51.33,47.7,2.64
IR-E-C-19607 ,CVR College of Engineering,Ibrahimpatan,35.51,170,61.19,4.72,50.85,53.99,1.6
IR-E-U-0615 ,National Institute of Technology Arunachal Pradesh,Itanagar,35.49,171,55.96,15.27,40.91,54.84,4.63
IR-E-C-42054 ,Army Institute of Technology,Pune ,35.38,172,51.13,2.36,64.88,57.85,5.6
IR-E-U-0614,National Institute of Technology Sikkim,South Sikkim ,35.33,173,64.25,10.26,40.27,47.61,1.6
IR-E-C-37028 ,Sona College of Technology,Salem,35.29,174,57,8.01,52.71,48.43,4.14
IR-E-C-1400 ,NMAM Institute of Technology,"Nitte, Udupi ",35.27,175,55.31,11.4,50.35,48.78,3.14
IR-E-C-16576 ,Chennai Institute of Technology,Chennai,35.27,175,55.24,9.2,47.12,56.71,20
IR-E-U-0685 ,Indira Gandhi Delhi Technical University for Women,Delhi,35.23,177,39.39,11.03,67.25,50.12,16.43
IR-E-U-0384 ,Sant Longowal Institute of Engineering & Technology,Longowal,35.2,178,57.44,18.52,30.12,60.83,3.14
IR-E-U-0774 ,DIT University,Dehradun ,35.14,179,51,9.61,54.93,56.62,3.14
IR-E-C-1406 ,C M R Institute of Technology,Bengaluru ,35.11,180,57.34,8.29,49.8,52,2.64
IR-E-C-16560 ,Easwari Engineering College,Chennai,35.07,181,52.44,7.2,57.96,51.24,3.65
IR-E-U-0535 ,Rajiv Gandhi Institute of Petroleum Technology,Amethi,34.99,182,58.81,7.05,54.22,43.96,0
IR-E-C-1352 ,Nitte Meenakshi Institute of Technology,Bengaluru,34.97,183,56.55,7.71,50.82,53.81,1.6
IR-E-U-0455 ,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Chennai,34.93,184,36.37,13.15,62.59,51.37,24.12
IR-E-C-18254 ,Yeshwantrao Chavan College of Engineering,Nagpur,34.88,185,52.41,8.77,57.07,50.74,0.54
IR-E-U-0513 ,G. L. A. University,Mathura,34.74,186,55.52,19.67,37.61,45.62,1.08
IR-E-C-46111 ,KIET Group of Institutions,Ghaziabad,34.73,187,53.33,9.39,55.12,46.29,2.64
IR-E-C-17958 ,GMR Institute of Technology,Rajam,34.71,188,57.16,15.28,42.92,41.85,2.12
IR-E-U-0217 ,Christ University,Bengaluru,34.64,189,45.9,19.22,41.37,52.22,16.07
IR-E-U-0765 ,Institute of Infrastructure Technology Research and Management (IITRAM),Ahmedabad,34.41,190,54.88,20.07,40.43,37.21,1.08
IR-E-U-0168 ,Maharishi Markandeshwar,Ambala,34.37,191,59.42,14.51,34.91,49.51,2.64
IR-E-N-13 ,Galgotias College of Engineering & Technology,Greater Noida ,34.29,192,54.75,6.98,51.54,48.41,6.07
IR-E-C-42227 ,Dr. D. Y. Patil Institute of Technology,Pune,34.1,193,53.48,1.49,59.71,51.98,4.63
IR-E-U-0622 ,National Institute of Technology Delhi,Delhi,33.96,194,41.6,22.59,44.71,42.73,14.94
IR-E-C-46239 ,G. L. Bajaj Institute of Technology and Management,Greater Noida ,33.95,195,54.48,10.21,47.98,47.79,1.6
IR-E-U-0854 ,KLE Technological University,Dharwad,33.9,196,51.27,10.36,50.84,48.3,4.14
IR-E-C-33777,Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,Mumbai Suburban,33.88,197,53.37,6.11,58.33,42.72,1.08
IR-E-C-16504 ,Sri Venkateswara College of Engineering and Technology,Chittoor,33.77,198,51.15,1.53,59.06,58.36,3.14
IR-E-C-1336 ,BMS Institute of Technology & Management,Bengaluru,33.76,199,46.4,4.77,56.46,54.38,16.8
IR-E-C-19582 ,Vidya Jyothi Institute of Technology,Hyderabad,33.7,200,57.97,2.81,46.58,55.46,6.07
